dataset_label,dataset_display,id,target_a,target_b,strain_a,strain_b,strain_a_display,strain_b_display,strain_pair,label_pkd_a,label_pkd_b,pred_mean_a,pred_mean_b,observed_delta_pkd,predicted_delta_pkd,observed_pair_divergence,predicted_pair_divergence,delta_residual,abs_delta_error,outer_fold_a,outer_fold_b
na,NA,14919-77-8,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,5.921,6.255,5.678,5.5067,-0.33399999999999963,0.17129999999999956,0.33399999999999963,0.17129999999999956,-0.5052999999999992,0.5052999999999992,1.0,1.0
na,NA,153439-40-8,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,5.487,4.954,5.6359,5.0871,0.5330000000000004,0.5488,0.5330000000000004,0.5488,-0.015799999999999592,0.015799999999999592,1.0,0.0
na,NA,15686-71-2,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,5.448,5.058,5.2343,5.2253,0.39000000000000057,0.009000000000000341,0.39000000000000057,0.009000000000000341,0.3810000000000002,0.3810000000000002,2.0,4.0
na,NA,156897-06-2,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,5.688,5.39,5.2857,4.6324,0.29800000000000004,0.6533000000000007,0.29800000000000004,0.6533000000000007,-0.3553000000000006,0.3553000000000006,2.0,0.0
na,NA,164656-23-9,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,4.021,3.447,4.0921,3.9312,0.5739999999999998,0.16090000000000027,0.5739999999999998,0.16090000000000027,0.4130999999999996,0.4130999999999996,3.0,4.0
na,NA,16676-29-2,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,5.225,5.341,5.041,4.9485,-0.11600000000000055,0.09250000000000025,0.11600000000000055,0.09250000000000025,-0.2085000000000008,0.2085000000000008,3.0,4.0
na,NA,168273-06-1,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,4.327,4.155,4.0022,4.4945,0.1719999999999997,-0.4923000000000002,0.1719999999999997,0.4923000000000002,0.6642999999999999,0.6642999999999999,1.0,3.0
na,NA,17440-83-4,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,4.993,4.686,4.8257,4.9265,0.3070000000000004,-0.10079999999999956,0.3070000000000004,0.10079999999999956,0.40779999999999994,0.40779999999999994,3.0,2.0
na,NA,18010-40-7,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,3.933,3.131,3.6174,3.5184,0.802,0.09899999999999975,0.802,0.09899999999999975,0.7030000000000003,0.7030000000000003,0.0,0.0
na,NA,183133-96-2,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,4.781,4.463,4.9498,4.9461,0.3179999999999996,0.0036999999999993705,0.3179999999999996,0.0036999999999993705,0.31430000000000025,0.31430000000000025,0.0,2.0
na,NA,190786-44-8,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,5.578,4.287,5.2163,4.7908,1.2910000000000004,0.42550000000000043,1.2910000000000004,0.42550000000000043,0.8654999999999999,0.8654999999999999,0.0,4.0
na,NA,19387-91-8,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,3.614,3.335,3.4061,3.6454,0.2789999999999999,-0.23930000000000007,0.2789999999999999,0.23930000000000007,0.5183,0.5183,4.0,4.0
na,NA,19767-45-4,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,3.362,4.459,3.7392,4.2448,-1.0969999999999995,-0.5055999999999998,1.0969999999999995,0.5055999999999998,-0.5913999999999997,0.5913999999999997,1.0,4.0
na,NA,2022-85-7,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,3.957,3.708,3.546,3.7225,0.24899999999999967,-0.17650000000000032,0.24899999999999967,0.17650000000000032,0.4255,0.4255,2.0,0.0
na,NA,20559-55-1,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,4.059,4.189,3.7619,4.1523,-0.1299999999999999,-0.3904000000000005,0.1299999999999999,0.3904000000000005,0.26040000000000063,0.26040000000000063,4.0,0.0
na,NA,208255-80-5,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,4.073,4.19,4.024,4.3649,-0.11699999999999999,-0.34089999999999954,0.11699999999999999,0.34089999999999954,0.22389999999999954,0.22389999999999954,4.0,2.0
na,NA,21498-08-8,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,3.665,3.866,3.8854,3.8007,-0.20100000000000007,0.08470000000000022,0.20100000000000007,0.08470000000000022,-0.2857000000000003,0.2857000000000003,2.0,0.0
na,NA,21679-14-1,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,4.267,4.387,4.1964,4.1984,-0.11999999999999922,-0.002000000000000668,0.11999999999999922,0.002000000000000668,-0.11799999999999855,0.11799999999999855,3.0,2.0
na,NA,2192-20-3,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,4.123,5.188,4.0835,4.9003,-1.0649999999999995,-0.8167999999999997,1.0649999999999995,0.8167999999999997,-0.24819999999999975,0.24819999999999975,2.0,2.0
na,NA,22254-24-6,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,4.895,4.533,4.968,4.5201,0.3619999999999992,0.44789999999999974,0.3619999999999992,0.44789999999999974,-0.08590000000000053,0.08590000000000053,2.0,2.0
na,NA,23076-35-9,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,3.824,3.572,4.0261,3.9418,0.2519999999999998,0.08429999999999938,0.2519999999999998,0.08429999999999938,0.1677000000000004,0.1677000000000004,3.0,0.0
na,NA,231277-92-2,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,4.361,4.849,4.8178,5.0483,-0.48800000000000043,-0.23050000000000015,0.48800000000000043,0.23050000000000015,-0.2575000000000003,0.2575000000000003,1.0,0.0
na,NA,23674-86-4,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,4.597,4.078,4.8149,4.0978,0.5190000000000001,0.7170999999999994,0.5190000000000001,0.7170999999999994,-0.19809999999999928,0.19809999999999928,4.0,2.0
na,NA,242478-38-2,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,3.771,4.19,3.668,4.0232,-0.4190000000000005,-0.35519999999999996,0.4190000000000005,0.35519999999999996,-0.06380000000000052,0.06380000000000052,2.0,1.0
na,NA,2468-21-5,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,4.416,4.904,4.2866,4.7463,-0.48799999999999955,-0.4596999999999998,0.48799999999999955,0.4596999999999998,-0.02829999999999977,0.02829999999999977,1.0,3.0
na,NA,265121-04-8,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,5.712,5.93,5.9291,6.3118,-0.21799999999999997,-0.3826999999999998,0.21799999999999997,0.3826999999999998,0.16469999999999985,0.16469999999999985,1.0,4.0
na,NA,26750-81-2,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,4.128,5.729,4.169,5.3907,-1.601,-1.2217000000000002,1.601,1.2217000000000002,-0.37929999999999975,0.37929999999999975,4.0,0.0
na,NA,27741-01-1,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,5.438,5.708,5.2368,5.7556,-0.27000000000000046,-0.5188000000000006,0.27000000000000046,0.5188000000000006,0.24880000000000013,0.24880000000000013,4.0,0.0
na,NA,28395-03-1,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,6.16,6.124,5.3086,6.2615,0.036000000000000476,-0.9528999999999996,0.036000000000000476,0.9528999999999996,0.9889000000000001,0.9889000000000001,0.0,2.0
na,NA,29767-20-2,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,4.983,5.099,5.205,4.8497,-0.11600000000000055,0.3552999999999997,0.11600000000000055,0.3552999999999997,-0.4713000000000003,0.4713000000000003,3.0,2.0
na,NA,3056-17-5,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,4.864,4.998,4.5851,4.9763,-0.13400000000000034,-0.39120000000000044,0.13400000000000034,0.39120000000000044,0.2572000000000001,0.2572000000000001,3.0,3.0
na,NA,320-67-2,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,4.569,4.4,4.4679,4.1046,0.1689999999999996,0.3633000000000006,0.1689999999999996,0.3633000000000006,-0.19430000000000103,0.19430000000000103,0.0,2.0
na,NA,32986-56-4,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,5.742,4.824,5.5378,5.2533,0.9180000000000001,0.28449999999999953,0.9180000000000001,0.28449999999999953,0.6335000000000006,0.6335000000000006,4.0,4.0
na,NA,33342-05-1,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,4.368,4.602,4.331,4.4091,-0.23399999999999999,-0.07809999999999917,0.23399999999999999,0.07809999999999917,-0.15590000000000082,0.15590000000000082,2.0,3.0
na,NA,33402-03-8,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,4.561,4.258,4.6284,4.5253,0.30299999999999994,0.10310000000000041,0.30299999999999994,0.10310000000000041,0.19989999999999952,0.19989999999999952,4.0,3.0
na,NA,36322-90-4,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,4.291,5.346,4.2282,5.2385,-1.0549999999999997,-1.0103,1.0549999999999997,1.0103,-0.04469999999999974,0.04469999999999974,0.0,3.0
na,NA,392-17-7,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,3.935,4.517,4.2714,4.1999,-0.5820000000000003,0.07149999999999945,0.5820000000000003,0.07149999999999945,-0.6534999999999997,0.6534999999999997,0.0,4.0
na,NA,39809-25-1,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,4.368,3.984,4.4562,4.2111,0.38400000000000034,0.24509999999999987,0.38400000000000034,0.24509999999999987,0.13890000000000047,0.13890000000000047,4.0,3.0
na,NA,405165-61-9,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,5.22,4.887,4.9151,4.5648,0.3330000000000002,0.35029999999999983,0.3330000000000002,0.35029999999999983,-0.01729999999999965,0.01729999999999965,4.0,2.0
na,NA,40828-46-4,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,4.465,5.806,4.8634,5.6534,-1.3410000000000002,-0.79,1.3410000000000002,0.79,-0.5510000000000002,0.5510000000000002,3.0,4.0
na,NA,42057-22-7,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,4.395,4.559,4.0511,4.6659,-0.1640000000000006,-0.6147999999999998,0.1640000000000006,0.6147999999999998,0.4507999999999992,0.4507999999999992,4.0,1.0
na,NA,42924-53-8,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,3.251,4.318,3.8262,4.3941,-1.0669999999999997,-0.5678999999999998,1.0669999999999997,0.5678999999999998,-0.4990999999999999,0.4990999999999999,3.0,2.0
na,NA,4394-00-7,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,5.261,5.489,4.5796,5.1083,-0.22799999999999976,-0.5286999999999997,0.22799999999999976,0.5286999999999997,0.30069999999999997,0.30069999999999997,3.0,3.0
na,NA,446-86-6,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,4.304,4.162,4.1139,4.2433,0.14200000000000035,-0.12939999999999952,0.14200000000000035,0.12939999999999952,0.27139999999999986,0.27139999999999986,1.0,1.0
na,NA,474-25-9,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,4.37,5.57,4.6914,5.5803,-1.2000000000000002,-0.8889000000000005,1.2000000000000002,0.8889000000000005,-0.3110999999999997,0.3110999999999997,3.0,2.0
na,NA,4759-48-2,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,5.461,5.516,5.3266,5.6532,-0.054999999999999716,-0.3266,0.054999999999999716,0.3266,0.2716000000000003,0.2716000000000003,1.0,1.0
na,NA,4940-39-0,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,3.754,4.36,3.839,4.3574,-0.6060000000000003,-0.5184000000000002,0.6060000000000003,0.5184000000000002,-0.08760000000000012,0.08760000000000012,4.0,3.0
na,NA,498-45-3,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,3.767,3.686,3.9102,3.8854,0.08099999999999996,0.024799999999999933,0.08099999999999996,0.024799999999999933,0.05620000000000003,0.05620000000000003,1.0,3.0
na,NA,50-14-6,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,4.502,4.82,4.0856,4.798,-0.3180000000000005,-0.7123999999999997,0.3180000000000005,0.7123999999999997,0.3943999999999992,0.3943999999999992,0.0,4.0
na,NA,50-91-9,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,3.991,4.717,4.3162,4.7345,-0.7259999999999995,-0.41829999999999945,0.7259999999999995,0.41829999999999945,-0.3077000000000001,0.3077000000000001,1.0,2.0
na,NA,50357-45-4,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,4.018,4.444,4.2865,4.6169,-0.42600000000000016,-0.3304,0.42600000000000016,0.3304,-0.09560000000000013,0.09560000000000013,2.0,4.0
na,NA,503612-47-3,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,4.136,4.459,4.0374,4.4297,-0.3229999999999995,-0.39230000000000054,0.3229999999999995,0.39230000000000054,0.06930000000000103,0.06930000000000103,4.0,4.0
na,NA,51-42-3,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,3.961,3.895,3.986,4.2163,0.06599999999999984,-0.23030000000000017,0.06599999999999984,0.23030000000000017,0.2963,0.2963,0.0,2.0
na,NA,518048-05-0,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,4.067,4.518,4.3424,4.3761,-0.4509999999999996,-0.03370000000000051,0.4509999999999996,0.03370000000000051,-0.4172999999999991,0.4172999999999991,0.0,2.0
na,NA,53-16-7,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,4.515,5.188,4.8445,5.157,-0.673,-0.3125,0.673,0.3125,-0.36050000000000004,0.36050000000000004,2.0,4.0
na,NA,54-30-8,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,4.088,3.987,4.3322,4.472,0.10099999999999998,-0.13980000000000015,0.10099999999999998,0.13980000000000015,0.24080000000000013,0.24080000000000013,4.0,3.0
na,NA,54527-84-3,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,5.333,4.455,5.0411,4.7272,0.8780000000000001,0.3139000000000003,0.8780000000000001,0.3139000000000003,0.5640999999999998,0.5640999999999998,4.0,1.0
na,NA,54965-24-1,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,4.211,4.183,4.3825,4.569,0.02800000000000047,-0.18649999999999967,0.02800000000000047,0.18649999999999967,0.21450000000000014,0.21450000000000014,3.0,1.0
na,NA,55-97-0,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,3.699,3.921,4.0698,3.6612,-0.22199999999999998,0.40859999999999985,0.22199999999999998,0.40859999999999985,-0.6305999999999998,0.6305999999999998,2.0,1.0
na,NA,56-75-7,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,5.131,4.791,4.7732,4.6681,0.33999999999999986,0.1051000000000002,0.33999999999999986,0.1051000000000002,0.23489999999999966,0.23489999999999966,2.0,3.0
na,NA,56-85-9,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,4.587,5.033,4.5802,4.9901,-0.4460000000000006,-0.4099000000000004,0.4460000000000006,0.4099000000000004,-0.03610000000000024,0.03610000000000024,1.0,1.0
na,NA,56296-78-7,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,4.734,4.54,4.8549,4.5472,0.19399999999999995,0.30769999999999964,0.19399999999999995,0.30769999999999964,-0.11369999999999969,0.11369999999999969,0.0,4.0
na,NA,57808-65-8,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,4.629,5.711,5.2001,5.8126,-1.0820000000000007,-0.6124999999999998,1.0820000000000007,0.6124999999999998,-0.4695000000000009,0.4695000000000009,3.0,1.0
na,NA,5786-68-5,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,3.628,3.883,3.8077,4.0816,-0.2549999999999999,-0.2738999999999998,0.2549999999999999,0.2738999999999998,0.018899999999999917,0.018899999999999917,1.0,4.0
na,NA,58-56-0,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,3.592,3.824,3.9141,3.8342,-0.23199999999999976,0.07989999999999986,0.23199999999999976,0.07989999999999986,-0.3118999999999996,0.3118999999999996,3.0,3.0
na,NA,58186-27-9,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,3.888,3.892,3.9813,3.9741,-0.0040000000000000036,0.007200000000000095,0.0040000000000000036,0.007200000000000095,-0.011200000000000099,0.011200000000000099,4.0,4.0
na,NA,5987-82-6,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,4.572,4.188,4.1964,4.4235,0.38400000000000034,-0.22710000000000008,0.38400000000000034,0.22710000000000008,0.6111000000000004,0.6111000000000004,1.0,1.0
na,NA,60-56-0,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,3.268,3.943,3.5401,3.9883,-0.6750000000000003,-0.4482000000000004,0.6750000000000003,0.4482000000000004,-0.2267999999999999,0.2267999999999999,0.0,2.0
na,NA,60200-06-8,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,5.418,5.186,5.6836,5.0186,0.2320000000000002,0.665,0.2320000000000002,0.665,-0.43299999999999983,0.43299999999999983,3.0,1.0
na,NA,61413-54-5,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,4.267,4.46,3.9763,4.785,-0.19299999999999962,-0.8087,0.19299999999999962,0.8087,0.6157000000000004,0.6157000000000004,4.0,3.0
na,NA,62-97-5,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,3.845,4.089,3.9811,4.4465,-0.24400000000000022,-0.46540000000000026,0.24400000000000022,0.46540000000000026,0.22140000000000004,0.22140000000000004,0.0,4.0
na,NA,624-49-7,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,3.652,3.807,3.6368,3.6274,-0.1549999999999998,0.009399999999999853,0.1549999999999998,0.009399999999999853,-0.16439999999999966,0.16439999999999966,1.0,1.0
na,NA,63-45-6,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,5.33,5.845,4.9114,5.346,-0.5149999999999997,-0.43459999999999965,0.5149999999999997,0.43459999999999965,-0.08040000000000003,0.08040000000000003,1.0,3.0
na,NA,630-93-3,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,4.43,3.653,4.1954,4.0771,0.7769999999999997,0.11830000000000052,0.7769999999999997,0.11830000000000052,0.6586999999999992,0.6586999999999992,0.0,0.0
na,NA,635728-49-3,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,4.792,4.739,4.6279,4.8587,0.052999999999999936,-0.23079999999999945,0.052999999999999936,0.23079999999999945,0.2837999999999994,0.2837999999999994,4.0,2.0
na,NA,636-54-4,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,4.404,3.882,4.3609,3.9063,0.5219999999999998,0.4546000000000001,0.5219999999999998,0.4546000000000001,0.06739999999999968,0.06739999999999968,1.0,4.0
na,NA,659-18-7,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,3.842,4.287,4.4201,4.9985,-0.44499999999999984,-0.5784000000000002,0.44499999999999984,0.5784000000000002,0.1334000000000004,0.1334000000000004,0.0,1.0
na,NA,66085-59-4,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,4.225,4.475,4.0373,4.5131,-0.25,-0.47579999999999956,0.25,0.47579999999999956,0.22579999999999956,0.22579999999999956,3.0,1.0
na,NA,68-41-7,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,3.786,4.009,3.8426,4.0082,-0.2230000000000003,-0.1656000000000004,0.2230000000000003,0.1656000000000004,-0.057399999999999896,0.057399999999999896,2.0,3.0
na,NA,69004-03-1,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,4.578,4.56,4.4202,4.7005,0.018000000000000682,-0.28029999999999955,0.018000000000000682,0.28029999999999955,0.29830000000000023,0.29830000000000023,1.0,1.0
na,NA,69655-05-6,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,4.512,4.609,4.231,4.7762,-0.09700000000000042,-0.5452000000000004,0.09700000000000042,0.5452000000000004,0.44819999999999993,0.44819999999999993,0.0,2.0
na,NA,70024-40-7,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,3.809,4.711,3.7546,4.6444,-0.9020000000000001,-0.8898000000000001,0.9020000000000001,0.8898000000000001,-0.012199999999999989,0.012199999999999989,4.0,0.0
na,NA,70288-86-7,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,4.974,5.331,5.5719,5.558,-0.3570000000000002,0.013900000000000468,0.3570000000000002,0.013900000000000468,-0.3709000000000007,0.3709000000000007,1.0,4.0
na,NA,7081-53-0,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,3.336,3.964,3.4577,3.6765,-0.6280000000000001,-0.21879999999999988,0.6280000000000001,0.21879999999999988,-0.40920000000000023,0.40920000000000023,0.0,0.0
na,NA,71720-56-4,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,3.887,4.21,3.8261,4.3549,-0.32299999999999995,-0.5287999999999999,0.32299999999999995,0.5287999999999999,0.20579999999999998,0.20579999999999998,0.0,3.0
na,NA,71963-77-4,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,3.448,3.976,3.7636,3.6102,-0.528,0.15339999999999998,0.528,0.15339999999999998,-0.6814,0.6814,3.0,1.0
na,NA,7235-40-7,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,3.687,4.113,3.8313,4.1036,-0.4260000000000006,-0.2723,0.4260000000000006,0.2723,-0.15370000000000061,0.15370000000000061,1.0,2.0
na,NA,7240-38-2,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,4.128,4.237,3.7864,4.0845,-0.10899999999999999,-0.29810000000000025,0.10899999999999999,0.29810000000000025,0.18910000000000027,0.18910000000000027,2.0,3.0
na,NA,72432-10-1,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,3.561,3.503,3.4072,3.895,0.05799999999999983,-0.4878,0.05799999999999983,0.4878,0.5457999999999998,0.5457999999999998,2.0,2.0
na,NA,72509-76-3,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,4.513,3.845,4.303,3.8595,0.6679999999999997,0.4434999999999998,0.6679999999999997,0.4434999999999998,0.22449999999999992,0.22449999999999992,3.0,2.0
na,NA,73231-34-2,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,4.181,3.866,3.8318,3.9021,0.31499999999999995,-0.07030000000000003,0.31499999999999995,0.07030000000000003,0.3853,0.3853,1.0,0.0
na,NA,738-70-5,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,4.114,4.289,4.7569,4.3939,-0.17499999999999982,0.36299999999999955,0.17499999999999982,0.36299999999999955,-0.5379999999999994,0.5379999999999994,2.0,0.0
na,NA,73816-42-9,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,5.259,4.662,5.3641,4.8108,0.5970000000000004,0.5532999999999992,0.5970000000000004,0.5532999999999992,0.04370000000000118,0.04370000000000118,3.0,1.0
na,NA,73963-72-1,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,3.843,4.432,3.788,3.9237,-0.5890000000000004,-0.13570000000000038,0.5890000000000004,0.13570000000000038,-0.45330000000000004,0.45330000000000004,4.0,2.0
na,NA,74150-27-9,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,4.214,4.034,4.1855,4.108,0.1800000000000006,0.07750000000000057,0.1800000000000006,0.07750000000000057,0.10250000000000004,0.10250000000000004,4.0,3.0
na,NA,745-65-3,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,5.798,5.688,5.3666,5.5836,0.11000000000000032,-0.21699999999999964,0.11000000000000032,0.21699999999999964,0.32699999999999996,0.32699999999999996,2.0,4.0
na,NA,74610-55-2,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,5.879,5.853,6.2059,5.3567,0.0259999999999998,0.8491999999999997,0.0259999999999998,0.8491999999999997,-0.8231999999999999,0.8231999999999999,2.0,3.0
na,NA,753498-25-8,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,5.419,4.823,5.0036,5.2302,0.5959999999999992,-0.22660000000000036,0.5959999999999992,0.22660000000000036,0.8225999999999996,0.8225999999999996,1.0,0.0
na,NA,76095-16-4,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,4.564,5.143,4.6288,5.0159,-0.5789999999999997,-0.3871000000000002,0.5789999999999997,0.3871000000000002,-0.19189999999999952,0.19189999999999952,1.0,2.0
na,NA,773-76-2,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,3.264,4.167,3.6177,4.114,-0.903,-0.49629999999999974,0.903,0.49629999999999974,-0.4067000000000003,0.4067000000000003,3.0,2.0
na,NA,79217-60-0,na_h3n2,na_h5n1,h3n2,h5n1,H3N2,H5N1,H3N2 - H5N1,6.757,6.548,6.3617,6.6564,0.20899999999999963,-0.29469999999999974,0.20899999999999963,0.29469999999999974,0.5036999999999994,0.5036999999999994,4.0,3.0
