dataset_label,dataset_display,id,predicted_mean_pkd,predicted_middle_pkd,predicted_max_pkd,worst_strain,worst_strain_display,worst_strain_pred_pkd,predicted_strain_range,in_experimental_data_any,pred_mean_ph1n1,pred_mean_h3n2,pred_mean_h5n1
na,NA,865-21-4,4.413200000000001,4.3794,4.573,h3n2,H3N2,4.2872,0.28580000000000005,1,4.573,4.2872,4.3794
na,NA,50-42-0,4.610399999999999,4.7182,4.8263,h3n2,H3N2,4.2867,0.5396000000000001,0,4.7182,4.2867,4.8263
na,NA,2468-21-5,4.4850666666666665,4.3205,4.8484,ph1n1,pH1N1,4.2863,0.5621,1,4.2863,4.3205,4.8484
na,NA,97682-44-5,4.526800000000001,4.3138,4.9879,h5n1,H5N1,4.2787,0.7092,1,4.3138,4.9879,4.2787
na,NA,616-91-1,4.5888333333333335,4.4898,4.9994,h3n2,H3N2,4.2773,0.7220999999999993,0,4.9994,4.2773,4.4898
na,NA,119302-91-9,4.379733333333333,4.3673,4.4969,ph1n1,pH1N1,4.275,0.22189999999999976,1,4.275,4.4969,4.3673
na,NA,979-32-8,4.4337,4.3433,4.6838,ph1n1,pH1N1,4.274,0.4097999999999997,1,4.274,4.3433,4.6838
na,NA,1177-87-3,4.4238,4.3016,4.6966,ph1n1,pH1N1,4.2732,0.4234,1,4.2732,4.3016,4.6966
na,NA,14028-44-5,4.700066666666666,4.4361,5.3919,ph1n1,pH1N1,4.2722,1.1197,0,4.2722,4.4361,5.3919
na,NA,108605-62-5,4.378366666666667,4.4155,4.4484,h3n2,H3N2,4.2712,0.17720000000000002,1,4.4155,4.2712,4.4484
na,NA,41859-67-0,4.572233333333333,4.6099,4.8371,h3n2,H3N2,4.2697,0.5674000000000001,1,4.6099,4.2697,4.8371
na,NA,85650-56-2,4.386166666666667,4.3805,4.5097,h3n2,H3N2,4.2683,0.24139999999999961,0,4.3805,4.2683,4.5097
na,NA,53164-05-9,4.755466666666667,4.9982,5.0007,h3n2,H3N2,4.2675,0.7332000000000001,0,5.0007,4.2675,4.9982
na,NA,98769-84-7,4.498833333333334,4.4098,4.8202,ph1n1,pH1N1,4.2665,0.5537000000000001,1,4.2665,4.8202,4.4098
na,NA,1235-82-1,4.352966666666667,4.3577,4.4373,ph1n1,pH1N1,4.2639,0.1734,1,4.2639,4.4373,4.3577
na,NA,94-16-6,4.472133333333333,4.512,4.6415,h3n2,H3N2,4.2629,0.3785999999999996,1,4.512,4.2629,4.6415
na,NA,58579-51-4,4.345066666666667,4.3665,4.4059,h3n2,H3N2,4.2628,0.14309999999999956,1,4.3665,4.2628,4.4059
na,NA,171599-83-0,4.268666666666667,4.2686,4.2767,h5n1,H5N1,4.2607,0.016000000000000014,1,4.2767,4.2686,4.2607
na,NA,42971-09-5,4.371133333333334,4.3726,4.4832,ph1n1,pH1N1,4.2576,0.22560000000000002,0,4.2576,4.3726,4.4832
na,NA,57-83-0,4.449533333333334,4.4392,4.6531,h3n2,H3N2,4.2563,0.3967999999999998,1,4.6531,4.2563,4.4392
na,NA,147-94-4,4.499099999999999,4.5027,4.7384,h5n1,H5N1,4.2562,0.48220000000000063,1,4.5027,4.7384,4.2562
na,NA,138402-11-6,4.444333333333333,4.4731,4.6042,h3n2,H3N2,4.2557,0.3484999999999996,1,4.6042,4.2557,4.4731
na,NA,152459-95-5,4.595299999999999,4.7604,4.77,h3n2,H3N2,4.2555,0.5145,1,4.7604,4.2555,4.77
na,NA,127-69-5,4.407233333333334,4.425,4.5437,h3n2,H3N2,4.253,0.2907000000000002,1,4.5437,4.253,4.425
na,NA,71-58-9,4.6512,4.4999,5.2016,ph1n1,pH1N1,4.2521,0.9494999999999996,1,4.2521,5.2016,4.4999
na,NA,153559-49-0,4.4636000000000005,4.3356,4.8032,ph1n1,pH1N1,4.252,0.5512000000000006,1,4.252,4.3356,4.8032
na,NA,73-48-3,4.390833333333333,4.4142,4.5066,ph1n1,pH1N1,4.2517,0.2549000000000001,1,4.2517,4.5066,4.4142
na,NA,50-91-9,4.402133333333333,4.2557,4.7015,h3n2,H3N2,4.2492,0.45230000000000015,1,4.2557,4.2492,4.7015
na,NA,34552-83-5,4.349933333333333,4.2515,4.5495,h5n1,H5N1,4.2488,0.30069999999999997,0,4.5495,4.2515,4.2488
na,NA,76824-35-6,4.3431,4.326,4.4559,ph1n1,pH1N1,4.2474,0.2084999999999999,0,4.2474,4.4559,4.326
na,NA,130641-38-2,4.5492333333333335,4.3479,5.0534,h3n2,H3N2,4.2464,0.8069999999999995,1,4.3479,4.2464,5.0534
na,NA,396-01-0,4.4264,4.4803,4.5562,h3n2,H3N2,4.2427,0.31349999999999945,1,4.4803,4.2427,4.5562
na,NA,877399-52-5,4.464766666666667,4.5649,4.5872,ph1n1,pH1N1,4.2422,0.34499999999999975,1,4.2422,4.5649,4.5872
na,NA,61618-27-7,4.494666666666666,4.3221,4.92,h3n2,H3N2,4.2419,0.6780999999999997,1,4.3221,4.2419,4.92
na,NA,2624-44-4,4.386466666666666,4.306,4.6166,ph1n1,pH1N1,4.2368,0.37980000000000036,1,4.2368,4.306,4.6166
na,NA,936563-96-1,4.584133333333334,4.6744,4.8414,h3n2,H3N2,4.2366,0.6048,1,4.6744,4.2366,4.8414
na,NA,39133-31-8,4.4455,4.4086,4.6929,ph1n1,pH1N1,4.235,0.45789999999999953,0,4.235,4.6929,4.4086
na,NA,31677-93-7,4.5595,4.7129,4.7311,h5n1,H5N1,4.2345,0.49659999999999993,0,4.7311,4.7129,4.2345
na,NA,82956-11-4,4.6495999999999995,4.2759,5.4407,h3n2,H3N2,4.2322,1.2085,1,4.2759,4.2322,5.4407
na,NA,53936-56-4,4.4421,4.3721,4.7225,h3n2,H3N2,4.2317,0.4908000000000001,1,4.3721,4.2317,4.7225
na,NA,137071-32-0,4.502199999999999,4.6155,4.6602,ph1n1,pH1N1,4.2309,0.42929999999999957,0,4.2309,4.6155,4.6602
na,NA,101831-37-2,4.595433333333333,4.6527,4.9033,h3n2,H3N2,4.2303,0.673,0,4.6527,4.2303,4.9033
na,NA,522-51-0,4.5677666666666665,4.4706,5.0025,h5n1,H5N1,4.2302,0.7723000000000004,1,5.0025,4.4706,4.2302
na,NA,75330-75-5,4.802833333333333,4.8661,5.3168,h3n2,H3N2,4.2256,1.0911999999999997,0,4.8661,4.2256,5.3168
na,NA,5593-20-4,4.3668000000000005,4.3647,4.5122,h3n2,H3N2,4.2235,0.2887000000000004,1,4.3647,4.2235,4.5122
na,NA,2068-78-2,4.2911,4.2815,4.3689,ph1n1,pH1N1,4.2229,0.1459999999999999,1,4.2229,4.2815,4.3689
na,NA,123318-82-1,4.412566666666667,4.3406,4.6779,h5n1,H5N1,4.2192,0.45870000000000033,1,4.3406,4.6779,4.2192
na,NA,87-17-2,4.8699666666666666,5.0945,5.2966,h3n2,H3N2,4.2188,1.0777999999999999,0,5.0945,4.2188,5.2966
na,NA,121808-62-6,4.387166666666666,4.4011,4.5416,h3n2,H3N2,4.2188,0.3228,1,4.5416,4.2188,4.4011
na,NA,10238-21-8,4.402866666666666,4.4806,4.5099,h3n2,H3N2,4.2181,0.2918000000000003,1,4.4806,4.2181,4.5099
na,NA,13492-01-8,4.272233333333333,4.2829,4.3159,ph1n1,pH1N1,4.2179,0.09799999999999986,1,4.2179,4.2829,4.3159
na,NA,65-46-3,4.5096,4.6304,4.6846,h5n1,H5N1,4.2138,0.47079999999999966,1,4.6304,4.6846,4.2138
na,NA,78755-81-4,4.4313666666666665,4.5282,4.5543,h3n2,H3N2,4.2116,0.3426999999999998,1,4.5282,4.2116,4.5543
na,NA,22254-24-6,4.5218,4.4912,4.8636,ph1n1,pH1N1,4.2106,0.6529999999999996,1,4.2106,4.8636,4.4912
na,NA,738-70-5,4.3922,4.4211,4.5477,ph1n1,pH1N1,4.2078,0.3399000000000001,1,4.2078,4.5477,4.4211
na,NA,42461-84-7,4.4364,4.3516,4.7521,h3n2,H3N2,4.2055,0.5466000000000006,1,4.3516,4.2055,4.7521
na,NA,405165-61-9,4.645766666666667,4.6605,5.0759,ph1n1,pH1N1,4.2009,0.875,1,4.2009,5.0759,4.6605
na,NA,60282-87-3,4.333833333333334,4.2802,4.5211,ph1n1,pH1N1,4.2002,0.32089999999999996,0,4.2002,4.5211,4.2802
na,NA,28657-80-9,4.295999999999999,4.306,4.3846,h3n2,H3N2,4.1974,0.1871999999999998,0,4.306,4.1974,4.3846
na,NA,3801-06-7,4.647633333333334,4.2466,5.5,h5n1,H5N1,4.1963,1.3037,1,4.2466,5.5,4.1963
na,NA,50-02-2,4.2344,4.2512,4.256,ph1n1,pH1N1,4.196,0.0600000000000005,1,4.196,4.256,4.2512
na,NA,83905-01-5,4.255433333333333,4.2366,4.3364,ph1n1,pH1N1,4.1933,0.14310000000000045,1,4.1933,4.3364,4.2366
na,NA,33419-42-0,4.405566666666667,4.2747,4.7492,h3n2,H3N2,4.1928,0.5564,1,4.2747,4.1928,4.7492
na,NA,330784-47-9,4.398700000000001,4.2703,4.7345,ph1n1,pH1N1,4.1913,0.5431999999999997,1,4.1913,4.2703,4.7345
na,NA,302962-49-8,4.625366666666667,4.6767,5.0087,h3n2,H3N2,4.1907,0.8180000000000005,0,4.6767,4.1907,5.0087
na,NA,91296-87-6,4.374433333333333,4.2554,4.6783,ph1n1,pH1N1,4.1896,0.4886999999999997,0,4.1896,4.2554,4.6783
na,NA,297-76-7,4.5795,4.6683,4.8825,h5n1,H5N1,4.1877,0.6947999999999999,1,4.6683,4.8825,4.1877
na,NA,50-99-7,4.466633333333333,4.4488,4.766,ph1n1,pH1N1,4.1851,0.5808999999999997,1,4.1851,4.4488,4.766
na,NA,68786-66-3,4.3633999999999995,4.3964,4.5095,h3n2,H3N2,4.1843,0.3251999999999997,1,4.3964,4.1843,4.5095
na,NA,78246-49-8,4.433766666666667,4.3561,4.7612,h5n1,H5N1,4.184,0.5771999999999995,0,4.3561,4.7612,4.184
na,NA,5908-99-6,4.6450000000000005,4.8652,4.886,h5n1,H5N1,4.1838,0.7022000000000004,1,4.8652,4.886,4.1838
na,NA,112885-42-4,4.450266666666667,4.4555,4.7118,ph1n1,pH1N1,4.1835,0.5282999999999998,1,4.1835,4.4555,4.7118
na,NA,90098-04-7,4.4361,4.463,4.6621,ph1n1,pH1N1,4.1832,0.47889999999999944,0,4.1832,4.6621,4.463
na,NA,24169-02-6,4.331433333333333,4.3502,4.4609,ph1n1,pH1N1,4.1832,0.2776999999999994,0,4.1832,4.4609,4.3502
na,NA,7481-89-2,4.315866666666667,4.2632,4.5016,h3n2,H3N2,4.1828,0.31879999999999953,1,4.2632,4.1828,4.5016
na,NA,131707-23-8,4.319500000000001,4.3721,4.405,h3n2,H3N2,4.1814,0.22360000000000024,1,4.3721,4.1814,4.405
na,NA,144598-75-4,4.219833333333333,4.2094,4.2692,ph1n1,pH1N1,4.1809,0.08829999999999938,1,4.1809,4.2094,4.2692
na,NA,132-60-5,4.608833333333333,4.7336,4.9126,h3n2,H3N2,4.1803,0.7323000000000004,0,4.7336,4.1803,4.9126
na,NA,14976-57-9,4.272866666666666,4.3174,4.3219,ph1n1,pH1N1,4.1793,0.14260000000000073,1,4.1793,4.3174,4.3219
na,NA,10405-02-4,4.336766666666667,4.408,4.4237,ph1n1,pH1N1,4.1786,0.24509999999999987,1,4.1786,4.408,4.4237
na,NA,138890-62-7,4.494833333333333,4.627,4.6797,h5n1,H5N1,4.1778,0.5019,1,4.627,4.6797,4.1778
na,NA,162401-32-3,4.445899999999999,4.3012,4.8587,h3n2,H3N2,4.1778,0.6808999999999994,1,4.3012,4.1778,4.8587
na,NA,1264-62-6,4.805033333333333,4.9232,5.3159,h5n1,H5N1,4.176,1.1399,1,4.9232,5.3159,4.176
na,NA,61413-54-5,4.5699000000000005,4.7502,4.7835,h3n2,H3N2,4.176,0.6074999999999999,1,4.7502,4.176,4.7835
na,NA,22881-35-2,4.4238,4.3434,4.7523,h3n2,H3N2,4.1757,0.5766,0,4.3434,4.1757,4.7523
na,NA,52-01-7,4.504166666666666,4.2787,5.0585,h5n1,H5N1,4.1753,0.8832000000000004,0,4.2787,5.0585,4.1753
na,NA,161814-49-9,4.355733333333333,4.2674,4.6251,h5n1,H5N1,4.1747,0.45040000000000013,1,4.2674,4.6251,4.1747
na,NA,223673-61-8,4.210133333333332,4.1968,4.2597,ph1n1,pH1N1,4.1739,0.08579999999999988,1,4.1739,4.2597,4.1968
na,NA,17780-75-5,4.342333333333333,4.2203,4.6341,h3n2,H3N2,4.1726,0.4615,1,4.2203,4.1726,4.6341
na,NA,56715-13-0,4.266266666666667,4.2574,4.3688,ph1n1,pH1N1,4.1726,0.19620000000000015,0,4.1726,4.3688,4.2574
na,NA,880149-29-1,4.287566666666667,4.2092,4.4831,h3n2,H3N2,4.1704,0.3127000000000004,1,4.2092,4.1704,4.4831
na,NA,78628-80-5,4.355366666666668,4.3995,4.4964,h3n2,H3N2,4.1702,0.32620000000000005,1,4.3995,4.1702,4.4964
na,NA,18507-89-6,4.2607333333333335,4.2535,4.3587,h3n2,H3N2,4.17,0.18869999999999987,1,4.2535,4.17,4.3587
na,NA,170729-80-3,4.443466666666667,4.5695,4.5924,h3n2,H3N2,4.1685,0.4238999999999997,1,4.5924,4.1685,4.5695
na,NA,76963-41-2,4.3526,4.3953,4.4946,ph1n1,pH1N1,4.1679,0.32669999999999977,0,4.1679,4.3953,4.4946
na,NA,67-03-8,4.338633333333333,4.3338,4.5145,ph1n1,pH1N1,4.1676,0.34689999999999976,1,4.1676,4.5145,4.3338
na,NA,22059-60-5,4.219966666666667,4.1813,4.3113,ph1n1,pH1N1,4.1673,0.14400000000000013,1,4.1673,4.1813,4.3113
na,NA,65513-72-6,4.478633333333334,4.6032,4.6672,h3n2,H3N2,4.1655,0.5017000000000005,0,4.6032,4.1655,4.6672
na,NA,5534/9/8,4.5798,4.769,4.8068,h3n2,H3N2,4.1636,0.6432000000000002,1,4.769,4.1636,4.8068
na,NA,85416-73-5,4.572333333333333,4.6578,4.8963,h3n2,H3N2,4.1629,0.7334000000000005,1,4.6578,4.1629,4.8963
na,NA,2062-78-4,4.571566666666667,4.5942,4.9583,h3n2,H3N2,4.1622,0.7961,1,4.9583,4.1622,4.5942
na,NA,50-14-6,4.722766666666667,4.8568,5.1501,h3n2,H3N2,4.1614,0.9886999999999997,1,5.1501,4.1614,4.8568
na,NA,50-70-4,4.342533333333333,4.4124,4.4634,h3n2,H3N2,4.1518,0.3116000000000003,1,4.4634,4.1518,4.4124
na,NA,103890-78-4,4.174033333333333,4.1598,4.2126,h5n1,H5N1,4.1497,0.06289999999999996,1,4.1598,4.2126,4.1497
na,NA,95233-18-4,4.988233333333333,4.9913,5.824,h3n2,H3N2,4.1494,1.6745999999999999,0,4.9913,4.1494,5.824
na,NA,147403-03-0,4.272666666666667,4.2473,4.4217,h3n2,H3N2,4.149,0.2727000000000004,0,4.2473,4.149,4.4217
na,NA,15500-66-0,4.296133333333333,4.3287,4.411,ph1n1,pH1N1,4.1487,0.26229999999999976,1,4.1487,4.3287,4.411
na,NA,68-22-4,4.2883000000000004,4.1692,4.5471,ph1n1,pH1N1,4.1486,0.3985000000000003,1,4.1486,4.5471,4.1692
na,NA,171596-29-5,4.334666666666667,4.1481,4.7087,h3n2,H3N2,4.1472,0.5615000000000006,1,4.1481,4.1472,4.7087
na,NA,124-94-7,4.2494,4.2935,4.3087,h3n2,H3N2,4.146,0.16270000000000007,1,4.2935,4.146,4.3087
na,NA,91599-74-5,4.2645333333333335,4.2435,4.405,h3n2,H3N2,4.1451,0.2599,1,4.2435,4.1451,4.405
na,NA,57-09-0,4.194833333333333,4.1765,4.2629,h3n2,H3N2,4.1451,0.1177999999999999,1,4.1765,4.1451,4.2629
na,NA,69655-05-6,4.384,4.3951,4.6123,h3n2,H3N2,4.1446,0.46770000000000067,1,4.3951,4.1446,4.6123
na,NA,15318-45-3,4.1912666666666665,4.1906,4.2388,h3n2,H3N2,4.1444,0.09440000000000026,1,4.2388,4.1444,4.1906
na,NA,113617-63-3,4.3244,4.3789,4.4501,h5n1,H5N1,4.1442,0.3059000000000003,1,4.3789,4.4501,4.1442
na,NA,1218-35-5,4.2711,4.1777,4.4924,h3n2,H3N2,4.1432,0.34919999999999973,1,4.1777,4.1432,4.4924
na,NA,150-76-5,4.290933333333333,4.3163,4.4162,h3n2,H3N2,4.1403,0.27590000000000003,1,4.3163,4.1403,4.4162
na,NA,62-13-5,4.354233333333333,4.3354,4.5893,h3n2,H3N2,4.138,0.4512999999999998,1,4.3354,4.138,4.5893
na,NA,26328-04-1,4.241233333333334,4.1419,4.4451,ph1n1,pH1N1,4.1367,0.3083999999999998,1,4.1367,4.1419,4.4451
na,NA,2315-02-8,4.4877666666666665,4.2809,5.0476,h3n2,H3N2,4.1348,0.9127999999999998,1,4.2809,4.1348,5.0476
na,NA,139264-17-8,4.319,4.3588,4.4638,h3n2,H3N2,4.1344,0.3293999999999997,1,4.3588,4.1344,4.4638
na,NA,4800-94-6,4.622433333333333,4.8128,4.9236,h3n2,H3N2,4.1309,0.7927000000000008,0,4.8128,4.1309,4.9236
na,NA,30516-87-1,4.319733333333333,4.398,4.4303,ph1n1,pH1N1,4.1309,0.29940000000000033,1,4.1309,4.398,4.4303
na,NA,1104-22-9,4.457133333333334,4.4595,4.7836,h3n2,H3N2,4.1283,0.6552999999999995,1,4.4595,4.1283,4.7836
na,NA,3759-92-0,4.4873,4.5938,4.7406,ph1n1,pH1N1,4.1275,0.6130999999999993,0,4.1275,4.5938,4.7406
na,NA,538-71-6,4.372633333333333,4.4313,4.5592,h3n2,H3N2,4.1274,0.43179999999999996,1,4.4313,4.1274,4.5592
na,NA,70458-95-6,4.3318666666666665,4.3482,4.5209,h3n2,H3N2,4.1265,0.3944000000000001,1,4.3482,4.1265,4.5209
na,NA,85622-93-1,4.1932,4.1863,4.2672,ph1n1,pH1N1,4.1261,0.14109999999999978,1,4.1261,4.1863,4.2672
na,NA,143491-57-0,4.2241333333333335,4.2648,4.2826,h3n2,H3N2,4.125,0.1576000000000004,1,4.2826,4.125,4.2648
na,NA,5451-09-2,4.305766666666667,4.3798,4.4172,ph1n1,pH1N1,4.1203,0.29689999999999994,1,4.1203,4.4172,4.3798
na,NA,78613-38-4,4.342866666666667,4.292,4.6222,h3n2,H3N2,4.1144,0.5078000000000005,0,4.292,4.1144,4.6222
na,NA,144701-48-4,4.218666666666667,4.2409,4.302,h3n2,H3N2,4.1131,0.1888999999999994,0,4.2409,4.1131,4.302
na,NA,286930-03-8,4.380066666666667,4.4126,4.6161,ph1n1,pH1N1,4.1115,0.5045999999999999,1,4.1115,4.6161,4.4126
na,NA,154229-18-2,4.3900999999999994,4.3241,4.7379,h3n2,H3N2,4.1083,0.6295999999999999,1,4.3241,4.1083,4.7379
na,NA,191217-81-9,4.3309,4.3469,4.5376,h5n1,H5N1,4.1082,0.4294000000000002,1,4.3469,4.5376,4.1082
na,NA,61422-45-5,4.196533333333334,4.1897,4.2926,h3n2,H3N2,4.1073,0.1852999999999998,1,4.1897,4.1073,4.2926
na,NA,3543-75-7,4.242466666666666,4.1494,4.4718,h5n1,H5N1,4.1062,0.3655999999999997,1,4.4718,4.1494,4.1062
na,NA,1508-76-5,4.228833333333333,4.1931,4.3899,h5n1,H5N1,4.1035,0.28639999999999954,1,4.3899,4.1931,4.1035
na,NA,65473-14-5,4.457966666666667,4.4623,4.8086,h3n2,H3N2,4.103,0.7056000000000004,1,4.4623,4.103,4.8086
na,NA,6080-58-6,4.331566666666666,4.2877,4.6042,h3n2,H3N2,4.1028,0.5013999999999994,1,4.2877,4.1028,4.6042
na,NA,65899-73-2,4.275266666666667,4.1321,4.5925,ph1n1,pH1N1,4.1012,0.49129999999999985,1,4.1012,4.1321,4.5925
na,NA,59277-89-3,4.260533333333334,4.1073,4.5735,h3n2,H3N2,4.1008,0.47270000000000056,1,4.1073,4.1008,4.5735
na,NA,5987-82-6,4.246766666666667,4.2399,4.4015,ph1n1,pH1N1,4.0989,0.3026,1,4.0989,4.2399,4.4015
na,NA,162011-90-7,4.589266666666667,4.7391,4.931,h3n2,H3N2,4.0977,0.8333000000000004,1,4.7391,4.0977,4.931
na,NA,91-33-8,4.478866666666667,4.5817,4.7583,h3n2,H3N2,4.0966,0.6617000000000006,1,4.5817,4.0966,4.7583
na,NA,188062-50-2,4.2815666666666665,4.2573,4.4908,h3n2,H3N2,4.0966,0.39420000000000055,0,4.2573,4.0966,4.4908
na,NA,161796-78-7,4.2071000000000005,4.1839,4.3415,h5n1,H5N1,4.0959,0.2455999999999996,1,4.1839,4.3415,4.0959
na,NA,76-25-5,4.1281,4.1111,4.1783,ph1n1,pH1N1,4.0949,0.08340000000000014,0,4.0949,4.1111,4.1783
na,NA,120-97-8,4.217533333333333,4.1463,4.4136,h5n1,H5N1,4.0927,0.32089999999999996,0,4.4136,4.1463,4.0927
na,NA,99300-78-4,4.194999999999999,4.2201,4.2733,ph1n1,pH1N1,4.0916,0.1817000000000002,1,4.0916,4.2733,4.2201
na,NA,673-06-3,4.1671000000000005,4.1014,4.3085,h5n1,H5N1,4.0914,0.2171000000000003,1,4.1014,4.3085,4.0914
na,NA,98319-26-7,4.164766666666667,4.1569,4.246,ph1n1,pH1N1,4.0914,0.1546000000000003,0,4.0914,4.1569,4.246
na,NA,69-09-0,4.242933333333333,4.2334,4.4043,ph1n1,pH1N1,4.0911,0.31320000000000014,0,4.0911,4.2334,4.4043
na,NA,114-07-8,4.1691,4.1125,4.3047,h5n1,H5N1,4.0901,0.2146000000000008,1,4.3047,4.1125,4.0901
na,NA,475207-59-1,4.396466666666667,4.5218,4.5799,h3n2,H3N2,4.0877,0.4922000000000004,0,4.5218,4.0877,4.5799
na,NA,191732-72-6,4.427600000000001,4.4207,4.7765,h3n2,H3N2,4.0856,0.6909000000000001,1,4.7765,4.0856,4.4207
na,NA,65277-42-1,4.245566666666666,4.2349,4.4162,ph1n1,pH1N1,4.0856,0.33059999999999956,1,4.0856,4.2349,4.4162
na,NA,302543-62-0,4.415766666666666,4.3613,4.8022,h3n2,H3N2,4.0838,0.7183999999999999,0,4.3613,4.0838,4.8022
na,NA,68291-97-4,4.174733333333333,4.2075,4.234,h3n2,H3N2,4.0827,0.1513,1,4.2075,4.0827,4.234
na,NA,503612-47-3,4.401933333333333,4.4332,4.6904,h3n2,H3N2,4.0822,0.6082000000000001,1,4.6904,4.0822,4.4332
na,NA,103577-45-3,4.277233333333332,4.083,4.6667,ph1n1,pH1N1,4.082,0.5846999999999998,1,4.082,4.083,4.6667
na,NA,2508-72-7,4.274366666666666,4.1335,4.6085,h3n2,H3N2,4.0811,0.5274000000000001,0,4.1335,4.0811,4.6085
na,NA,163222-33-1,4.309433333333334,4.3108,4.5367,h3n2,H3N2,4.0808,0.45589999999999975,0,4.3108,4.0808,4.5367
na,NA,2152-44-5,4.422633333333334,4.3162,4.8711,h5n1,H5N1,4.0806,0.7905000000000006,1,4.3162,4.8711,4.0806
na,NA,130-61-0,4.405733333333333,4.5591,4.5783,h3n2,H3N2,4.0798,0.49849999999999994,1,4.5591,4.0798,4.5783
na,NA,443913-73-3,4.1605,4.12,4.2818,ph1n1,pH1N1,4.0797,0.20209999999999972,1,4.0797,4.12,4.2818
na,NA,74150-27-9,4.283333333333333,4.2726,4.4989,h5n1,H5N1,4.0785,0.4203999999999999,1,4.4989,4.2726,4.0785
na,NA,2668-66-8,4.193233333333334,4.2082,4.2946,h5n1,H5N1,4.0769,0.21769999999999978,0,4.2082,4.2946,4.0769
na,NA,5536-17-4,4.1145000000000005,4.1044,4.1625,h3n2,H3N2,4.0766,0.08589999999999964,0,4.1625,4.0766,4.1044
na,NA,72432-03-2,4.374066666666667,4.3809,4.666,h5n1,H5N1,4.0753,0.5907,1,4.3809,4.666,4.0753
na,NA,168273-06-1,4.176633333333334,4.1016,4.3534,ph1n1,pH1N1,4.0749,0.2784999999999993,1,4.0749,4.1016,4.3534
na,NA,24280-93-1,4.219833333333333,4.2279,4.3584,ph1n1,pH1N1,4.0732,0.2851999999999997,1,4.0732,4.2279,4.3584
na,NA,3160-91-6,4.389433333333333,4.4189,4.6765,h5n1,H5N1,4.0729,0.6036000000000001,1,4.4189,4.6765,4.0729
na,NA,152-62-5,4.204766666666667,4.2187,4.3256,ph1n1,pH1N1,4.07,0.2555999999999994,0,4.07,4.3256,4.2187
na,NA,912-60-7,4.128233333333333,4.1121,4.2026,h3n2,H3N2,4.07,0.13260000000000005,1,4.1121,4.07,4.2026
na,NA,132539-06-1,4.3079,4.3656,4.4892,h3n2,H3N2,4.0689,0.4203000000000001,1,4.3656,4.0689,4.4892
na,NA,145525-41-3,4.322400000000001,4.3226,4.5775,ph1n1,pH1N1,4.0671,0.5103999999999997,1,4.0671,4.3226,4.5775
na,NA,366-70-1,4.3295,4.4564,4.4657,h3n2,H3N2,4.0664,0.3993000000000002,1,4.4657,4.0664,4.4564
na,NA,104632-26-0,4.123033333333333,4.102,4.2013,ph1n1,pH1N1,4.0658,0.1354999999999995,1,4.0658,4.2013,4.102
na,NA,42057-22-7,4.392933333333333,4.5507,4.5655,h3n2,H3N2,4.0626,0.5029000000000003,1,4.5655,4.0626,4.5507
na,NA,665-66-7,4.193266666666667,4.2156,4.303,ph1n1,pH1N1,4.0612,0.24179999999999957,1,4.0612,4.2156,4.303
na,NA,219861-08-2,4.231633333333334,4.2743,4.3614,ph1n1,pH1N1,4.0592,0.3022,1,4.0592,4.3614,4.2743
na,NA,138530-94-6,4.358066666666667,4.1717,4.8441,h3n2,H3N2,4.0584,0.7857000000000003,1,4.1717,4.0584,4.8441
na,NA,58-94-6,4.214300000000001,4.1417,4.4452,ph1n1,pH1N1,4.056,0.38919999999999977,0,4.056,4.4452,4.1417
na,NA,101827-46-7,4.1448,4.0707,4.3078,ph1n1,pH1N1,4.0559,0.2519,1,4.0559,4.0707,4.3078
na,NA,118292-40-3,4.355066666666667,4.0641,4.9453,ph1n1,pH1N1,4.0558,0.8895,1,4.0558,4.0641,4.9453
na,NA,59-67-6,4.225066666666667,4.2609,4.3611,h3n2,H3N2,4.0532,0.30790000000000006,1,4.2609,4.0532,4.3611
na,NA,113-52-0,4.339766666666666,4.1422,4.8244,h3n2,H3N2,4.0527,0.7717,1,4.8244,4.0527,4.1422
na,NA,2192-20-3,4.655733333333333,4.7634,5.1517,h3n2,H3N2,4.0521,1.0995999999999997,1,4.7634,4.0521,5.1517
na,NA,154-42-7,4.0648333333333335,4.0708,4.072,h5n1,H5N1,4.0517,0.020299999999999763,0,4.072,4.0708,4.0517
na,NA,71125-38-7,4.9205,5.194,5.5172,h3n2,H3N2,4.0503,1.4668999999999999,1,5.194,4.0503,5.5172
na,NA,269055-15-4,4.344433333333334,4.0729,4.9118,ph1n1,pH1N1,4.0486,0.8632,1,4.0486,4.0729,4.9118
na,NA,82034-46-6,4.255433333333333,4.3179,4.4015,ph1n1,pH1N1,4.0469,0.35460000000000047,0,4.0469,4.4015,4.3179
na,NA,57-64-7,4.1452333333333335,4.1861,4.2027,h3n2,H3N2,4.0469,0.15580000000000016,1,4.1861,4.0469,4.2027
na,NA,81103-11-9,4.2677000000000005,4.2809,4.477,h5n1,H5N1,4.0452,0.43179999999999996,1,4.2809,4.477,4.0452
na,NA,107-35-7,4.335733333333334,4.0622,4.9009,ph1n1,pH1N1,4.0441,0.8567999999999998,1,4.0441,4.0622,4.9009
na,NA,797-63-7,4.154966666666667,4.0486,4.3734,ph1n1,pH1N1,4.0429,0.3304999999999998,1,4.0429,4.3734,4.0486
na,NA,103628-48-4,4.1022,4.0764,4.1874,h5n1,H5N1,4.0428,0.1446000000000005,0,4.1874,4.0764,4.0428
