compound_id,target_id,isomeric_smiles,label_pkd,glidesp_pr,pignet2_pr,ligunity_pr,boltz2_pr,balm_pr,mammal_pr,branch_sequence_pr,branch_pose_pr,branch_structure_pr,consensus_123_pr,disagreement_sd_pr,disagreement_range_pr,disagreement_branch_sd_pr,structure_minus_pose_pr,sequence_minus_structure_pr,exact_mol_wt,logp,tpsa,hbd,hba,formal_charge,rotatable_bonds,ring_count,aromatic_ring_count,heavy_atom_count,fraction_csp3,structural_alert_count,qed
34381-68-5,furin,CCCC(=O)Nc1ccc(OC[C@H](O)C[NH2+]C(C)C)c(C(C)=O)c1,3.658,0.1028,0.2799,0.0579,0.0678,0.0355,0.3309,0.1832,0.19135,0.06285,0.1257416666666666,0.1265466870368403,0.2954,0.0719522932226624,-0.1285,0.12035,337.21218382808996,1.3393000000000002,92.24,3,4,1,10,1,1,24,0.5555555555555556,1,0.5618624951770448
51022-70-9,furin,CC(C)(C)[NH2+]C[C@@H](O)c1ccc(O)c(CO)c1,5.853,0.9953,0.8579,0.6288,0.9047,0.3802,0.4424,0.4113,0.9266,0.76675,0.7607916666666666,0.2560161772232372,0.6151,0.2637646725776597,-0.1598499999999999,-0.35545,240.15941998409,0.2798000000000001,77.30000000000001,4,3,1,4,1,1,17,0.5384615384615384,0,0.6103090427518448
13492-01-8,furin,[NH3+][C@@H]1C[C@H]1c1ccccc1,3.961,0.6102,0.1463,0.2711,0.2658,0.3995,0.8232,0.6113500000000001,0.37825,0.2684499999999999,0.3622,0.2529919109378796,0.6769000000000001,0.1751057109291413,-0.1098,0.3429000000000001,134.09642580409,0.7843999999999995,27.64,1,0,1,1,2,1,10,0.3333333333333333,0,0.5876903631319248
536-33-4,furin,CCc1cc(C(N)=S)ccn1,7.306,0.4106,0.6409,0.9783,0.9924,0.1566,0.2776,0.2171,0.52575,0.98535,0.7041083333333332,0.3554552892652839,0.8358,0.3865887231067834,0.4595999999999999,-0.7682499999999999,166.05646932,1.2782,38.91,1,2,0,2,1,1,11,0.25,1,0.6725460532160716
25332-39-2,furin,O=c1n(CCC[NH+]2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12,5.174,0.4197,0.0653,0.6616,0.2033,0.7498,0.829,0.7894,0.2425,0.43245,0.428625,0.3096292584150708,0.7636999999999999,0.2776670413162738,0.18995,0.35695,372.15856445609006,0.9445999999999996,46.98,1,3,1,5,4,3,26,0.3684210526315789,0,0.7249345359261311
496775-61-2,furin,CC1=NN(c2ccc(C)c(C)c2)C(=O)/C1=N\Nc1cccc(-c2cccc(C(=O)[O-])c2)c1O,4.29,0.9917,0.9184,0.2759,0.3146,0.034,0.0264,0.0302,0.95505,0.29525,0.4710083333333332,0.4267913338701556,0.9653,0.4762588695587025,-0.6597999999999999,-0.26505,441.15682873191,3.230140000000002,117.42,2,7,-1,5,4,3,33,0.12,2,0.4656399387325317
100643-71-8,furin,Clc1ccc2c(c1)CCc1cccnc1C2=C1CC[NH2+]CC1,3.914,0.0735,0.033,0.7879,0.6602,0.3827,0.4236,0.40315,0.05325,0.7240500000000001,0.4469666666666667,0.3033358364365587,0.7549,0.3355044609738197,0.6708000000000001,-0.3209000000000001,311.13095274009,2.9927,29.5,1,1,1,0,4,2,22,0.3157894736842105,0,0.7961111285945959
123318-82-1,furin,Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1F,4.878,0.7,0.3177,0.6576,0.6399,0.4622,0.1728,0.3175,0.50885,0.6487499999999999,0.5469083333333334,0.2124704214708485,0.5271999999999999,0.1662896043052601,0.1398999999999999,-0.3312499999999999,303.053445112,-0.3494000000000002,119.31000000000002,3,7,0,2,3,2,20,0.5,1,0.648649936215886
36791-04-5,furin,NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1,4.968,0.1566,0.0062,0.3733,0.1993,0.0106,0.2571,0.13385,0.0814,0.2863,0.1925916666666667,0.1429311360994051,0.3671,0.1064393528415751,0.2049,-0.15245,244.080769484,-3.0114999999999994,143.72000000000003,4,7,0,3,2,1,17,0.625,0,0.442842031674371
198480-56-7,furin,Cc1c(-c2ccc(O)cc2)n(Cc2ccc(OCC[NH+]3CCCCCC3)cc2)c2ccc(O)cc12,4.184,0.8533,0.907,0.2847,0.4572,0.6403,0.7569,0.6986,0.88015,0.37095,0.5952916666666667,0.2406314443292896,0.6223000000000001,0.2580696175453437,-0.5092,0.32765,471.26421940009,4.9139200000000045,59.06,3,3,1,7,5,4,35,0.3333333333333333,0,0.3588400484832849
201530-41-8,furin,O=C([O-])c1ccc(-n2nc(-c3ccccc3O)nc2-c2ccccc2O)cc1,5.012,0.9297,0.4092,0.4904,0.4029,0.7793,0.5803,0.6798,0.66945,0.44665,0.559775,0.2137721559667363,0.5267999999999999,0.1317231218629946,-0.2228,0.2331499999999999,372.09897950791,2.3760000000000003,111.3,2,6,-1,4,4,4,28,0.0,0,0.5688769559435355
111406-87-2,furin,C[C@H](c1cc2ccccc2s1)N(O)C(N)=O,3.836,0.6095,0.8171,0.6337,0.6378,0.1548,0.3299,0.24235,0.7133,0.63575,0.5960333333333334,0.2416339931935626,0.6623000000000001,0.2525112093221474,-0.07755,-0.3934,236.061948624,2.7321999999999997,66.56,2,3,0,2,2,2,16,0.1818181818181818,2,0.621567647628534
2627-69-2,furin,NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c1N,4.559,0.2409,0.2191,0.8541,0.2986,0.0271,0.2952,0.16115,0.2299999999999999,0.5763499999999999,0.3917,0.2787566465575305,0.827,0.2225195440854577,0.3463499999999999,-0.4151999999999999,258.09641954800003,-2.8242999999999996,156.85000000000002,5,7,0,3,2,1,18,0.5555555555555556,0,0.3908498923708794
3717-88-2,furin,Cc1c(-c2ccccc2)oc2c(C(=O)OCC[NH+]3CCCCC3)cccc2c1=O,4.942,0.3884,0.44,0.8814,0.6402,0.0235,0.6569,0.3402,0.4142,0.7607999999999999,0.5751666666666667,0.2941742318196253,0.8579,0.2245409836384737,0.3465999999999999,-0.4205999999999999,392.18563473209,2.9940200000000017,60.95,1,4,1,5,4,3,29,0.3333333333333333,1,0.6784032165726454
133099-07-7,furin,NC(=O)C(c1ccccc1)(c1ccccc1)[C@@H]1CC[N@@H+](CCc2ccc3c(c2)CCO3)C1,7.702,0.999,0.999,0.9989,0.9961,0.6277,0.5638,0.59575,0.999,0.9975,0.9310416666666668,0.2088329994676767,0.4352,0.2323846936296221,-0.0014999999999999,-0.40175,427.23800465209,2.5404,56.760000000000005,2,2,1,7,5,3,32,0.3214285714285714,0,0.6089217233728879
223673-61-8,furin,Nc1nc(CC(=O)Nc2ccc(CC[NH2+]C[C@H](O)c3ccccc3)cc2)cs1,5.129,0.6885,0.5175,0.5155,0.559,0.7082,0.7385,0.72335,0.603,0.53725,0.5901833333333334,0.1016391656793777,0.2230000000000001,0.0943754867537116,-0.0657499999999999,0.1861,397.1692734600901,1.7460000000000009,104.85,4,5,1,9,3,3,28,0.238095238095238,1,0.412902267681634
50-28-2,furin,C[C@@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@H]2O,4.104,0.2443,0.2911,0.1467,0.2727,0.1772,0.2341,0.20565,0.2677,0.2097,0.2283583333333333,0.0556279216461182,0.1444,0.0347145622661921,-0.0579999999999999,-0.0040499999999999,272.177630008,3.609200000000002,40.46,2,2,0,0,4,1,20,0.6666666666666666,0,0.757169743555686
641571-10-0,furin,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)c[nH+]1,4.218,0.9081,0.967,0.7384,0.5891,0.3906,0.5077,0.44915,0.93755,0.66375,0.7192499999999998,0.2277888620338287,0.5764,0.2447972494398851,-0.2738,-0.2145999999999999,530.1910694360901,5.774940000000005,98.87,2,5,1,6,5,5,39,0.1071428571428571,0,0.290262022507963
21462-39-5,furin,CCC[C@@H]1C[C@@H](C(=O)N[C@@H]([C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)[C@H](C)Cl)[N@H+](C)C1,4.735,0.7096,0.1231,0.6726,0.7799,0.897,0.8497,0.8733500000000001,0.41635,0.7262500000000001,0.6474666666666667,0.2816203218282848,0.7739,0.2332828826410831,0.3099,0.1471,425.18714728809,-1.0275999999999967,103.46,5,6,1,7,2,0,27,0.9444444444444444,1,0.3342275857333282
169590-42-5,furin,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,3.713,0.9517,0.7206,0.3346,0.8002,0.743,0.7597,0.75135,0.83615,0.5674,0.6876416666666666,0.2052989040399388,0.6171,0.137389473759819,-0.2687499999999999,0.1839499999999999,381.07588234799994,3.5139200000000006,77.98,1,3,0,3,3,3,26,0.1176470588235294,0,0.7541053298167572
53885-35-1,furin,Clc1ccccc1C[N@H+]1CCc2sccc2C1,3.496,0.3277,0.4393,0.1787,0.1805,0.8257,0.1205,0.4730999999999999,0.3835,0.1795999999999999,0.2964833333333333,0.2628229442038879,0.7052,0.1504136629432313,-0.2039,0.2935,264.06082458009,2.5427,4.44,1,1,1,2,3,2,17,0.2857142857142857,0,0.8504053019619108
191732-72-6,furin,Nc1cccc2c1CN([C@@H]1CCC(=O)NC1=O)C2=O,4.623,0.1332,0.5472,0.6344,0.3316,0.3711,0.069,0.22005,0.3402,0.483,0.391575,0.2220305542036951,0.5653999999999999,0.1316374851628517,0.1427999999999999,-0.26295,259.095691276,0.0297999999999998,92.5,2,4,0,1,3,1,19,0.3076923076923077,2,0.5494349129687401
144598-75-4,furin,Cc1nc2n(c(=O)c1CC[N@H+]1CC[C@H](c3noc4cc(F)ccc43)CC1)CCC[C@@H]2O,4.248,0.2163,0.3986,0.6903,0.217,0.8614,0.937,0.8992,0.30745,0.45365,0.4791749999999999,0.31984964384327,0.7207000000000001,0.3082361932566215,0.1462,0.44555,427.2139953960899,1.6642199999999998,85.59,2,5,1,4,5,3,31,0.5217391304347826,0,0.6616473235554238
154-69-8,furin,C[NH+](C)CCN(Cc1ccccc1)c1ccccn1,4.199,0.9118,0.9732,0.995,0.9589,0.3311,0.0367,0.1839,0.9425,0.97695,0.8332916666666667,0.4122131265094146,0.9583,0.4482538464233557,0.0344499999999999,-0.79305,256.18082412409,1.2327000000000006,20.57,1,2,1,6,2,2,19,0.3125,0,0.8389502563588367
103577-45-3,furin,Cc1c(OCC(F)(F)F)cc[nH+]c1C[S@@](=O)c1nc2ccccc2[nH]1,3.975,0.1823,0.1441,0.1741,0.1126,0.817,0.526,0.6715,0.1632,0.14335,0.2379916666666666,0.284053328913193,0.7043999999999999,0.2993619144669764,-0.01985,0.52815,370.0831588000901,2.9343200000000005,69.12,1,3,1,5,3,3,25,0.25,0,0.750807307032013
62893-19-0,furin,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3C(C(=O)[O-])=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)C(=O)C1=O,3.713,0.5124,0.5336,0.1818,0.2039,0.3125,0.021,0.16675,0.5229999999999999,0.19285,0.2985499999999999,0.200341997594114,0.5126,0.1985758859982751,-0.3301499999999999,-0.0260999999999999,644.1351243719103,-2.4466999999999928,223.08999999999995,3,13,-1,9,5,2,44,0.4,3,0.1467237929255473
73590-58-6,furin,COc1ccc2nc([S@](=O)Cc3[nH+]cc(C)c(OC)c3C)[nH]c2c1,4.876,0.987,0.5696,0.7804,0.7798,0.1487,0.3431,0.2459,0.7783,0.7801,0.6904666666666667,0.3115196087996174,0.8383,0.3079022139143097,0.0018,-0.5342,346.12198892009,2.31884,78.35,1,4,1,5,3,3,24,0.2941176470588235,0,0.7688969417435119
72432-03-2,furin,OCC[N@H+]1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,4.07,0.331,0.2475,0.3938,0.3464,0.0424,0.3319,0.1871499999999999,0.28925,0.3701,0.3126583333333333,0.1265984623392664,0.3514,0.0916804550235945,0.0808499999999999,-0.18295,208.11794909609,-4.6791999999999945,105.59000000000002,6,5,1,3,1,0,14,1.0,0,0.2795588345704856
444731-52-6,furin,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,6.887,0.5215,0.8598,0.9968,0.9915,0.5079,0.9972,0.75255,0.69065,0.99415,0.8527166666666665,0.236567544265903,0.4892999999999999,0.1603716620852949,0.3035000000000001,-0.2416,437.16339397600007,3.1390400000000005,119.03,2,7,0,5,4,4,31,0.1904761904761904,0,0.4921501033338167
50-63-5,furin,CC[NH+](CC)CCC[C@@H](C)Nc1cc[nH+]c2cc(Cl)ccc12,3.116,0.1364,0.1155,0.054,0.1456,0.2316,0.186,0.2087999999999999,0.12595,0.0998,0.1266833333333333,0.0606728852124241,0.1776,0.0569048108686778,-0.02615,0.1089999999999999,321.19607841617994,2.8126,30.61,2,1,2,8,2,2,22,0.5,0,0.7692912634314394
364782-34-3,furin,C[C@@H]([NH2+]CCCc1cccc(C(F)(F)F)c1)c1cccc2ccccc12,4.647,0.1338,0.807,0.5208,0.5353,0.2372,0.3948,0.316,0.4704,0.52805,0.4734916666666667,0.2396699876914087,0.6732,0.109641905765998,0.0576499999999999,-0.21205,358.17771081609004,5.115800000000004,16.61,1,0,1,6,3,3,26,0.2727272727272727,1,0.5894393592050658
61318-91-0,furin,Clc1ccc(CS[C@H](Cn2cc[nH+]c2)c2ccc(Cl)cc2Cl)cc1,4.293,0.7988,0.947,0.4034,0.9906,0.9026,0.3092,0.6059,0.8729,0.6970000000000001,0.74045,0.2943234048910597,0.6814,0.1357258388566205,-0.1758999999999999,-0.0911,397.0094289720899,5.937100000000003,19.07,0,1,1,6,3,3,24,0.1666666666666666,0,0.502765756351852
30652-11-0,furin,Cc1c(O)c(=O)ccn1C,4.049,0.0934,0.1333,0.2042,0.1789,0.8267,0.8818,0.85425,0.11335,0.19155,0.2759333333333333,0.3648141851226,0.7884,0.4070666079812164,0.0781999999999999,0.6627,139.063328528,0.3993199999999998,42.23,1,2,0,0,1,1,10,0.2857142857142857,0,0.5649178764789872
165800-03-3,furin,CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,5.763,0.5152,0.7633,0.7758,0.9143,0.7585,0.8657,0.8121,0.63925,0.8450500000000001,0.7709583333333333,0.1378343159981093,0.3991,0.1105414439625851,0.2058000000000001,-0.03295,337.1437843399999,1.1235999999999997,71.11,1,5,0,4,3,1,24,0.5,0,0.8915973887511962
321-30-2,furin,Nc1ncnc2[nH]cnc12,4.87,0.0722,0.3459,0.6323,0.078,0.9239,0.6893,0.8066,0.2090499999999999,0.3551499999999999,0.3816916666666667,0.3483516078140973,0.8517,0.311506638506041,0.1460999999999999,0.45145,135.05449516,-0.0648999999999999,80.48,2,4,0,0,2,2,10,0.0,0,0.5296759293780585
91-33-8,furin,NS(=O)(=O)c1cc2c(cc1Cl)NC(CSCc1ccccc1)=NS2(=O)=O,3.54,0.0314,0.7526,0.1843,0.3299,0.4897,0.9325,0.7111000000000001,0.392,0.2571,0.3777333333333333,0.3423817168015839,0.9011,0.2331447404510769,-0.1349,0.454,430.98349660799994,2.4335000000000004,118.69,2,6,0,5,3,2,26,0.1333333333333333,0,0.7498958613046711
134308-13-7,furin,Cc1ccc(C(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)cc1,4.591,0.3969,0.4924,0.894,0.9898,0.2182,0.4854,0.3518,0.44465,0.9419,0.6778,0.2991915757503877,0.7716000000000001,0.3173055034190236,0.4972499999999999,-0.5901,273.06372245200004,2.545420000000002,100.67,2,5,0,3,2,2,20,0.0714285714285714,4,0.3871048603061818
152459-95-5,furin,Cc1ccc(NC(=O)c2ccc(C[NH+]3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,5.173,0.6949,0.4427,0.944,0.9772,0.6763,0.3594,0.51785,0.5688,0.9606,0.7562083333333334,0.2519206813000208,0.6177999999999999,0.2422569933631087,0.3917999999999999,-0.4427499999999998,494.2662850640901,3.1732200000000015,87.48,3,6,1,7,5,4,37,0.2413793103448276,0,0.3659166129867811
82586-55-8,furin,CCOC(=O)[C@H](CCc1ccccc1)[NH2+][C@@H](C)C(=O)N1Cc2ccccc2C[C@H]1C(=O)[O-],6.281,0.9689,0.8742,0.999,0.999,0.4342,0.0075,0.22085,0.92155,0.999,0.8434916666666666,0.4075581185548879,0.9915,0.4286600080483366,0.07745,-0.77815,438.2154720599999,0.2062000000000028,103.35,1,5,0,9,3,2,32,0.4,1,0.5638703373109077
475207-59-1,furin,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,4.203,0.9717,0.5939,0.9312,0.7795,0.6446,0.8625,0.7535499999999999,0.7827999999999999,0.85535,0.8142,0.1533631463770441,0.3778,0.0524123156646731,0.0725500000000001,-0.1018000000000001,464.086302712,5.549700000000003,92.35,3,4,0,5,3,3,32,0.0952380952380952,0,0.4613395020059931
75706-12-6,furin,Cc1oncc1C(=O)Nc1ccc(C(F)(F)F)cc1,5.226,0.7095,0.8915,0.9333,0.9618,0.342,0.7774,0.5597,0.8005,0.94755,0.8338916666666667,0.2302659397305645,0.6197999999999999,0.1958043091967079,0.14705,-0.38785,270.061612188,3.2541200000000012,55.13,1,3,0,2,2,2,19,0.1666666666666666,0,0.9108229912132476
41621-49-2,furin,Cc1cc(C2CCCCC2)n([O-])c(=O)c1,4.763,0.3551,0.4791,0.4239,0.441,0.0102,0.3087,0.1594499999999999,0.4171,0.43245,0.3818333333333333,0.1711631346600858,0.4689,0.1533776086439391,0.0153499999999999,-0.273,206.11865233191,2.55032,45.06,0,2,-1,1,2,1,15,0.5833333333333334,0,0.7084080931990356
4205-91-8,furin,Clc1cccc(Cl)c1NC1=[NH+]CCN1,4.925,0.8342,0.9795,0.2679,0.2449,0.1824,0.2646,0.2235,0.90685,0.2564,0.4677333333333334,0.3487947404993372,0.7971,0.3853861342861209,-0.65045,-0.0329,230.02462910009,0.4450999999999998,38.03,3,2,1,1,2,1,14,0.2222222222222222,0,0.6559315977745085
479-18-5,furin,Cn1c(=O)c2c(ncn2C[C@@H](O)CO)n(C)c1=O,4.254,0.3062,0.5152,0.9041,0.8442,0.9785,0.1669,0.5727,0.4107,0.87415,0.669425,0.3388952015987636,0.8116000000000001,0.2351956649968985,0.46345,-0.30145,254.101504928,-2.213099999999999,102.28,2,5,0,3,2,2,18,0.5,0,0.6460832424087163
73963-72-1,furin,O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1,5.777,0.99,0.9738,0.6381,0.7782,0.3712,0.2008,0.286,0.9819,0.7081500000000001,0.7290416666666667,0.3212727714367756,0.7892,0.3505772608617583,-0.2737499999999999,-0.4221500000000001,369.216475104,3.4647000000000014,81.93,1,5,0,7,4,2,27,0.6,1,0.755913406639335
135729-62-3,furin,O=C1c2cccc3c2[C@H](CCC3)CN1[C@@H]1C[N@H+]2CC[C@@H]1CC2,4.349,0.4385,0.4683,0.6446,0.6956,0.4565,0.8727,0.6646000000000001,0.4534,0.6700999999999999,0.59695,0.1728691952508215,0.4342,0.1235546977388287,0.2166999999999999,-0.0054999999999998,297.19613984009004,1.2393999999999998,24.750000000000004,1,1,1,1,6,1,22,0.631578947368421,0,0.8286869281130633
6018-19-5,furin,Nc1ccc(C(=O)[O-])c(O)c1,4.132,0.8663,0.5575,0.0381,0.1764,0.5889,0.8813,0.7351,0.7119,0.10725,0.4134416666666666,0.3483909781648581,0.8432,0.3559811523568815,-0.60465,0.62785,152.03531663191,-0.6621000000000001,86.38000000000001,2,4,-1,1,1,1,11,0.0,1,0.5226981672670166
78415-72-2,furin,Cc1[nH]c(=O)c(C#N)cc1-c1ccncc1,3.416,0.6341,0.5353,0.7122,0.6308,0.2028,0.2957,0.24925,0.5847,0.6715,0.5721916666666668,0.2056272882344818,0.5094000000000001,0.2229932753096678,0.0867999999999999,-0.4222499999999999,211.074561908,1.617,69.53999999999999,1,3,0,1,2,2,16,0.0833333333333333,0,0.7786697771862998
50-35-1,furin,O=C1CC[C@H](N2C(=O)c3ccccc3C2=O)C(=O)N1,4.723,0.3435,0.3806,0.3316,0.3013,0.2108,0.015,0.1129,0.36205,0.31645,0.297725,0.1346906529793363,0.3656,0.1326572557382369,-0.0455999999999999,-0.20355,258.0640568,0.0877999999999999,83.55000000000001,1,4,0,1,3,1,19,0.2307692307692307,1,0.7233587999857974
319460-85-0,furin,CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1,4.662,0.6908,0.6137,0.0729,0.6675,0.749,0.9244,0.8367,0.65225,0.3702,0.5419666666666666,0.2884187470790806,0.8515,0.2349454741707814,-0.28205,0.4665,386.1201321960001,4.639100000000004,70.67,2,4,0,5,4,4,28,0.0454545454545454,0,0.5241908173512972
69-52-3,furin,CC1(C)S[C@@H]2[C@@H](NC(=O)[C@@H]([NH3+])c3ccccc3)C(=O)N2[C@H]1C(=O)[O-],5.198,0.6351,0.3231,0.9252,0.6726,0.2451,0.5304,0.38775,0.4790999999999999,0.7988999999999999,0.623775,0.2480783001392907,0.6801,0.2158939496604756,0.3198,-0.4111499999999999,349.10962708799997,-1.7333999999999976,117.18,2,5,0,4,3,1,24,0.4375,1,0.6263698534142854
6493-05-6,furin,CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,5.471,0.043,0.4598,0.6109,0.6718,0.0896,0.1279,0.10875,0.2514,0.64135,0.4226,0.2805343092505205,0.6287999999999999,0.2757029757426156,0.3899499999999999,-0.5326,278.13789043599996,0.193,78.89,0,4,0,5,2,2,20,0.5384615384615384,1,0.7314900236053014
183319-69-9,furin,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,4.312,0.1259,0.0771,0.6563,0.9466,0.5266,0.4074,0.4669999999999999,0.1015,0.80145,0.5123916666666667,0.3288414374740507,0.8694999999999999,0.3500897634893085,0.69995,-0.33445,393.16885621599994,3.405100000000002,74.73000000000002,1,7,0,10,3,3,29,0.2727272727272727,2,0.4178840975839869
219861-08-2,furin,C[NH+](C)CCC[C@@]1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,4.636,0.9975,0.7527,0.9152,0.9714,0.3674,0.3747,0.37105,0.8751,0.9433,0.8251916666666667,0.2906410804870273,0.6301000000000001,0.3125667142120756,0.0682,-0.57225,325.17106796409,2.395880000000001,37.46,1,2,1,5,3,2,24,0.35,0,0.9164902384308174
82640-04-8,furin,O=C(c1ccc(OCC[NH+]2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,4.586,0.8264,0.9509,0.5938,0.3474,0.0169,0.0191,0.018,0.8886499999999999,0.4706,0.5345166666666666,0.399133648878,0.934,0.4354392389683471,-0.4180499999999999,-0.4526,474.1733557960899,4.658100000000006,71.2,3,5,1,7,5,4,34,0.25,1,0.3409247092418569
2809-21-4,furin,C[C@](O)(P(=O)([O-])[O-])P(=O)([O-])O,4.592,0.7814,0.6478,0.5774,0.1906,0.5202,0.1855,0.35285,0.7146,0.384,0.4890083333333333,0.2451517115311795,0.5959,0.2004701744233623,-0.3306,-0.03115,202.95269649973,-2.888199999999999,143.78,2,6,-3,2,0,0,11,1.0,1,0.4578842124152752
129497-78-5,furin,C=Cc1c(C)c2cc3nc(cc4[nH]c(cc5[nH+]c(cc1[nH]2)C(C)=C5CCC(=O)OC)c(CCC(=O)[O-])c4C)[C@@]1(C)C3=CC=C(C(=O)OC)[C@H]1C(=O)OC,3.691,0.9077,0.9803,0.7855,0.9689,0.4479,0.0678,0.25785,0.944,0.8772,0.7962416666666668,0.3644896399990906,0.9125,0.3783425443078446,-0.0667999999999999,-0.61935,718.300264304,4.803640000000004,177.64,2,9,0,9,6,3,53,0.3170731707317073,2,0.2323314321416605
366-70-1,furin,C[NH2+]NCc1ccc(C(=O)NC(C)C)cc1,3.76,0.6574,0.5024,0.5552,0.2414,0.0018,0.0307,0.01625,0.5799,0.3983,0.3951583333333333,0.2802713143842349,0.6556,0.2877041550505194,-0.1815999999999999,-0.38205,222.16008868009,0.0226000000000012,57.74,3,2,1,5,1,1,16,0.4166666666666667,2,0.4858594129526428
50-78-2,furin,CC(=O)Oc1ccccc1C(=O)[O-],4.125,0.5086,0.1578,0.8406,0.5701,0.4366,0.6442,0.5404,0.3332,0.70535,0.5538083333333333,0.2274884473257195,0.6828000000000001,0.1864742900062454,0.37215,-0.16495,179.03498228391,-0.0246,66.43,0,4,-1,2,1,1,13,0.1111111111111111,2,0.4721709057370543
59-67-6,furin,O=C([O-])c1cccnc1,6.033,0.0524,0.6438,0.6088,0.7225,0.896,0.7648,0.8304,0.3481,0.6656500000000001,0.5872583333333333,0.2933746575058361,0.8436,0.2451509246022403,0.31755,0.1647499999999999,122.02475194791,-0.5549000000000002,53.02,0,3,-1,1,1,1,9,0.0,0,0.5015757599713943
147403-03-0,furin,CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2noc(=O)[nH]2)cc1,6.886,0.9084,0.9496,0.9968,0.999,0.9929,0.9745,0.9837,0.929,0.9979,0.9725666666666668,0.035536966668527,0.0906,0.0363798020885215,0.0688999999999999,-0.0141999999999999,456.14336974,4.1918000000000015,123.23999999999998,2,6,0,7,5,5,34,0.12,0,0.3762947538170099
51-48-9,furin,[NH3+][C@@H](Cc1cc(I)c(Oc2cc(I)c([O-])c(I)c2)c(I)c1)C(=O)[O-],4.134,0.9852,0.998,0.9143,0.7793,0.2078,0.1375,0.17265,0.9916,0.8468,0.7827083333333333,0.3938904352735669,0.8605,0.437059180775327,-0.1448,-0.67415,775.6794233799101,1.8737999999999997,100.06,1,4,-1,5,2,2,24,0.1333333333333333,1,0.4697772394756119
89-57-6,furin,Nc1ccc(O)c(C(=O)[O-])c1,3.33,0.0189,0.1424,0.0241,0.0139,0.1135,0.1243,0.1189,0.08065,0.019,0.0562,0.0598314215107747,0.1285,0.0504046872820375,-0.0616499999999999,0.0999,152.03531663191,-0.6621000000000001,86.38,2,4,-1,1,1,1,11,0.0,2,0.4127367486568201
63675-72-9,furin,COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)C)[C@H]1c1ccccc1[N+](=O)[O-],5.351,0.374,0.4272,0.8181,0.4631,0.7055,0.7876,0.74655,0.4006,0.6406000000000001,0.5782583333333333,0.1967074113160626,0.4441,0.1772506723071406,0.24,0.1059499999999999,388.16343648799995,3.201800000000002,107.77,1,7,0,6,2,1,28,0.4,3,0.4527860366395833
93-14-1,furin,COc1ccccc1OC[C@@H](O)CO,4.771,0.9337,0.7787,0.9548,0.9244,0.4275,0.8919,0.6597,0.8562,0.9396,0.86515,0.2014527934777773,0.5273,0.1437079329751841,0.0834,-0.2799,198.089208928,0.4272000000000001,58.92,2,4,0,5,1,1,14,0.4,0,0.7198499687675642
56180-94-0,furin,C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@@H]([C@H](O)[C@@H](O)C=O)[C@H](O)CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,3.751,0.2795,0.7847,0.6125,0.8471,0.1154,0.3201,0.21775,0.5321,0.7298,0.5785583333333334,0.2975950565225616,0.7317,0.2582300056796912,0.1977,-0.51205,645.2480135359999,-8.721900000000014,329.01,14,19,0,13,3,0,44,0.88,2,0.0652615042977129
